time_slot,front_morning,front_afternoon,front_evening,nassau_morning,nassau_afternoon,nassau_evening,pearse_morning,pearse_afternoon,pearse_evening
1,70.70333,72.219535,71.672715,65.179455,64.991264,69.28605,63.2888,69.627238,66.586548
2,72.347797,73.633255,72.373198,64.296625,68.128219,69.754053,62.226882,67.738822,63.18049
3,73.295855,70.462963,70.488912,65.93325,69.434151,71.733179,58.855516,68.018261,61.415402
4,68.220805,68.845925,65.51616,65.674095,71.200834,70.548703,63.740446,67.499413,61.93653
5,68.503677,71.828302,68.980025,67.74746,72.355946,69.940357,62.653538,65.046171,63.295983
6,75.004603,72.396502,71.826947,66.837202,72.518773,70.056099,63.723986,66.070619,64.250957
7,74.514827,70.571647,72.726187,66.3903,72.21106,68.938603,64.37209,65.922247,63.18647
8,72.323657,71.208845,71.759535,64.88298,69.222446,67.423776,64.680428,67.936426,64.083542
9,69.75557,69.877342,67.312607,65.099452,68.683179,65.789487,60.347502,65.559949,64.744443
10,69.841595,68.580298,66.47606,65.13745,67.031617,67.353195,61.262762,67.842375,65.903155
11,69.71384,68.221815,64.166128,65.582403,67.259436,68.228448,60.717012,68.100407,66.259995
12,71.29604,66.94163,64.976322,64.594655,65.836409,69.534153,60.473975,67.174345,66.518995
13,70.2997,67.713957,66.6269,62.333445,66.464712,66.829743,58.23125,68.65966,63.507375
14,67.409925,67.244155,66.539095,61.846047,67.247457,66.336169,57.532373,66.194813,64.724203
15,69.475487,69.321355,68.892972,60.021093,66.186293,64.917011,60.212297,67.538383,64.11063
16,68.51294,71.20678,71.180545,61.999098,65.637408,64.972813,62.664185,67.032283,64.345053
17,65.908515,69.004332,67.747438,63.486947,67.387718,66.289995,61.516965,69.095898,65.014495
18,67.24117,68.469403,68.189845,63.354097,65.866782,67.858009,59.120669,68.078258,63.192497
19,70.605412,70.335815,69.785472,65.802648,68.35614,50.90118,58.911412,67.656527,63.834992
20,66.917925,69.698032,66.971757,66.363798,68.237862,67.608499,61.53067,68.673293,64.491498
21,68.00669,69.791535,66.036465,65.560603,68.029382,67.848608,59.378505,69.164525,63.732995
22,69.17913,69.541953,66.787082,65.54948,68.126814,67.25505,58.731927,70.904848,65.705995
23,71.267783,70.248513,68.06786,67.88929,70.68163,69.258323,59.643538,71.720661,66.069493
24,68.181542,69.884932,64.131138,68.44622,72.787235,69.252169,58.134248,71.369865,66.254993
